0,0
4EBP1pS65,0.81287664
RbpS807,1.0286756
MAPKpT202,0.76245296
MEKpS217,0.7579567
S6,0.77592915
PAI-1,1.0405692
AKTpS473,0.88957745
AMPKpT172,1.4318705
b-Catenin,1.0425059
BIM,1.1039678
Caveolin,1.0895821
CyclinB1,1.2173738
CyclinD1,1.0598794
GSK3abpS21,0.6846252
GSKpS9,0.7840781
IGFBP2,1.8857218
p38pT180,2.2501462
p53,0.97324187
p70S6KpT389,0.75894594
SRCpY527,2.080967
STAT3pY705,1.5872005
TSC2pT1462,0.6503761
YAPpS127,0.69054884
ACC1,0.70219576
AKTpT308,0.6658625
AKT,0.9573378
b-CateninpS,2.4417832
Fibronectin,0.6603472
HSP27,1.8517218
IGF1R-beta,1.5235692
IRS1,0.6915069
p27,2.5590856
c-Myc,3.07511
SMAD3,0.9291949
STAT3,2.2727077
STAT5,3.0910096
STAT5pY694,0.97023636
COX2,1.0986032
PAX2,1.0213337
PLK1,0.85936195
YBIpS102,2.0616708
CHK2pT68,0.903008
S6pS235,1.0205543
S6pS240,0.7859373
4EBP1pT37,1.139633
Caspase9,2.0641875
a-tubulin,1.5995713
ATMpS1981,1.8945376
ATR,2.0850923
BAK,0.6882093
BCL-XL,1.045468
BCL2,1.7927072
bRAF,2.0496876
c-JUNpS73,1.6917369
Casp9cAsp31,2.0101283
CHK1pS345,2.3633482
cRAFV,1.5460045
EGFRV,2.2953744
ELK1pS383,1.4576946
ERa,0.55636066
GATA3,1.2759167
GSK3ab,1.7613919
mTORpS2448,0.69372463
p21,2.48578
STAT6pY641,2.4263008
TAZpS89,2.144956
XRCC1,2.0337555
PCNA,0.73990315
PDK1pS241,1.7405633
PI3Kp85,2.0424907
PKCa,2.224705
RAD51,0.7330415
SRCpY416,2.233182
4EBP1pT70,0.6186911
ACCpS79,0.9538746
Collagenase,0.7019905
CyclinE1,1.8527124
IRS1pS307,2.3106983
p38,1.0570701
SMAD3pS423,1.5159005
TSC2,0.7272237
SRC,2.42891
G2M,3.569891
G1arrest,2.4113045
G2arrest,1.1924137
Sarrest,0.59976214
cellviab,1.9094266
aMEK,4.5857124
aAKT,2.440884
aHDAC,3.8866558
aMDM2,2.904556
aJAK,10.626769
aBRAFm,0.99836993
aPKC,1.7563133
aSTAT3,6.512419
amTOR,1.2962745
aPI3K,1.5322431
aCDK4,2.684683
aSRC,1.0605458
