0,0
4EBP1pS65,2.2412367
RbpS807,2.4882877
MAPKpT202,1.699164
MEKpS217,1.8958747
S6,2.429342
PAI-1,2.273474
AKTpS473,2.5580552
AMPKpT172,1.0538281
b-Catenin,1.8064486
BIM,2.1033905
Caveolin,1.30713
CyclinB1,2.8104641
CyclinD1,2.7846105
GSK3abpS21,1.8794532
GSKpS9,2.2945907
IGFBP2,0.84491247
p38pT180,1.1255819
p53,1.2045302
p70S6KpT389,1.8139143
SRCpY527,1.4370868
STAT3pY705,1.2700521
TSC2pT1462,2.6798055
YAPpS127,1.5252168
ACC1,1.4471688
AKTpT308,2.3919857
AKT,1.4748001
b-CateninpS,1.158404
Fibronectin,0.5898875
HSP27,0.64843875
IGF1R-beta,0.8164841
IRS1,1.5220973
p27,1.2236025
c-Myc,1.7348404
SMAD3,1.8856158
STAT3,0.9505345
STAT5,0.8207536
STAT5pY694,2.3126433
COX2,1.5560966
PAX2,2.3783028
PLK1,1.5342025
YBIpS102,1.3433679
CHK2pT68,2.2547634
S6pS235,5.0280733
S6pS240,3.7543
4EBP1pT37,3.078773
Caspase9,1.2093674
a-tubulin,0.91812414
ATMpS1981,0.8798912
ATR,0.9172045
BAK,1.7216058
BCL-XL,2.4333825
BCL2,0.51898605
bRAF,0.857103
c-JUNpS73,0.8874896
Casp9cAsp31,0.73401433
CHK1pS345,0.19324091
cRAFV,0.9224976
EGFRV,1.3413733
ELK1pS383,1.4916854
ERa,1.1364443
GATA3,2.934835
GSK3ab,0.739217
mTORpS2448,1.7727038
p21,0.9779353
STAT6pY641,1.2256818
TAZpS89,1.1679901
XRCC1,0.74993664
PCNA,2.1618373
PDK1pS241,0.7671932
PI3Kp85,1.1401738
PKCa,0.6929359
RAD51,2.307353
SRCpY416,0.647379
4EBP1pT70,1.5011361
ACCpS79,1.7893577
Collagenase,3.0081155
CyclinE1,0.8751302
IRS1pS307,0.71123827
p38,1.2139417
SMAD3pS423,0.7739851
TSC2,1.8876315
SRC,1.4505217
G2M,1.1367507
G1arrest,1.0645081
G2arrest,3.220774
Sarrest,2.5303195
cellviab,3.7205315
aMEK,-3.055819
aAKT,3.4160728
aHDAC,-1.0229951
aMDM2,1.0147053
aJAK,-0.008056172
aBRAFm,1.1667148
aPKC,1.4854133
aSTAT3,-0.7399332
amTOR,3.1378343
aPI3K,2.0035584
aCDK4,2.94153
aSRC,0.809372
